advertiser,train_id,contract_start,contract_end,min_daily_hours,min_monthly_km,penalty_per_hour,current_exposure_hours,monthly_km_achieved,sla_compliance,revenue_per_day,penalty_risk
Coca-Cola Kerala,T014,2025-07-13,2026-04-26,8,6868,875,16,8784,True,3406,3097
Coca-Cola Kerala,T019,2025-04-15,2026-01-16,10,6384,1743,11,7314,False,5502,2448
Coca-Cola Kerala,T011,2025-06-21,2025-10-24,8,4179,1365,5,7626,False,2186,7874
LuLu Group,T002,2025-08-02,2026-02-24,15,6554,1698,10,6279,False,7699,3982
LuLu Group,T003,2025-05-04,2025-10-07,16,6440,1102,13,3052,True,4401,4714
LuLu Group,T004,2025-07-20,2025-11-16,9,5077,1566,14,5288,False,3384,22
Federal Bank,T016,2025-03-29,2025-09-15,16,3409,1946,9,4522,True,4702,1474
Federal Bank,T014,2025-07-11,2026-02-05,11,5091,1102,16,5182,True,6552,10579
Federal Bank,T024,2025-08-01,2026-04-27,8,5438,717,15,5208,True,3308,5027
Federal Bank,T005,2025-06-13,2026-04-13,9,6400,1986,18,4288,True,4864,7751
Marico Kochi,T021,2025-07-07,2025-10-30,15,6073,1214,7,8926,True,2014,5563
Marico Kochi,T012,2025-04-09,2025-07-14,16,3780,913,6,7741,True,2812,1968
Marico Kochi,T016,2025-08-03,2025-11-24,15,5975,1694,18,5116,True,4863,5420
Marico Kochi,T001,2025-06-28,2026-02-07,9,5663,850,5,4614,True,5269,14949
Marico Kochi,T006,2025-05-03,2025-09-25,8,6507,1387,17,8237,True,3584,13093
Malabar Gold,T022,2025-07-28,2025-11-10,10,3996,1380,15,3746,True,4176,4259
Malabar Gold,T008,2025-08-02,2025-12-20,14,5811,1298,18,4555,False,7464,5031
Malabar Gold,T009,2025-03-29,2025-09-06,13,5943,1448,8,6176,False,3607,13114
Malabar Gold,T006,2025-05-10,2025-09-25,12,5686,1453,15,8788,True,2382,10575
Jos Alukkas,T006,2025-05-27,2026-04-22,16,7541,874,13,6586,True,2445,13589
Jos Alukkas,T022,2025-08-01,2025-11-07,9,4351,658,17,5500,True,7944,14333
Kalyan Jewellers,T002,2025-06-16,2025-12-21,8,4789,1522,17,7408,True,6862,13892
Kalyan Jewellers,T001,2025-05-23,2026-01-02,13,7811,1652,6,5405,True,4540,2348
Kalyan Jewellers,T004,2025-08-05,2026-01-14,16,5638,873,5,6868,False,2924,2614
Kalyan Jewellers,T023,2025-05-08,2026-01-18,14,4143,1136,8,8926,False,5325,2393
Kalyan Jewellers,T009,2025-05-01,2025-12-12,11,5439,823,8,4120,False,2397,6409
Metro Shoes,T020,2025-03-18,2025-12-04,12,7660,1777,10,7454,False,4424,12863
Metro Shoes,T019,2025-06-26,2025-11-03,8,6470,1027,15,6985,True,6268,6593
Metro Shoes,T002,2025-06-25,2026-01-29,14,7827,720,14,5508,True,4037,4943
Metro Shoes,T013,2025-03-26,2026-01-22,11,3519,1504,10,5563,True,2018,5965
Metro Shoes,T023,2025-05-21,2025-11-30,15,4858,536,6,3830,True,7012,13343
