date,train_id,inducted,actual_failure_occurred,branding_sla_met,energy_consumed_kwh,passenger_complaints,on_time_percentage,total_km_covered,maintenance_cost_inr
2025-03-20,T001,False,False,False,53,0,97.83,0,692
2025-03-20,T002,True,False,True,164,0,99.59,323,1922
2025-03-20,T003,True,False,True,165,0,98.64,218,361
2025-03-20,T004,True,False,True,168,0,97.95,239,246
2025-03-20,T005,False,False,True,76,1,96.23,0,525
2025-03-20,T006,True,False,True,152,1,97.57,313,442
2025-03-20,T007,True,False,True,175,1,96.24,318,1415
2025-03-20,T008,True,False,True,199,0,95.24,342,999
2025-03-20,T009,True,False,True,184,0,99.42,229,749
2025-03-20,T010,True,False,True,142,0,97.09,352,1692
2025-03-20,T011,True,False,False,175,0,98.47,383,782
2025-03-20,T012,False,True,True,51,0,97.51,0,2893
2025-03-20,T013,True,False,True,165,1,97.17,389,1938
2025-03-20,T014,False,False,True,60,0,97.35,0,1557
2025-03-20,T015,True,False,True,147,0,96.51,368,1118
2025-03-20,T016,True,False,True,174,0,99.76,245,238
2025-03-20,T017,True,False,True,160,0,99.38,219,693
2025-03-20,T018,False,False,False,64,1,96.69,0,125
2025-03-20,T019,True,False,True,197,1,99.47,369,1221
2025-03-20,T020,False,True,True,63,0,98.0,0,1819
2025-03-20,T021,False,False,True,65,0,98.34,0,582
2025-03-20,T022,False,False,True,100,0,99.62,0,332
2025-03-20,T023,True,False,True,148,1,99.29,360,537
2025-03-20,T024,False,True,True,67,0,96.25,0,5341
2025-03-20,T025,True,True,False,141,0,97.54,370,6151
2025-03-21,T001,True,True,True,186,0,96.56,362,6720
2025-03-21,T002,True,False,True,195,0,96.05,212,233
2025-03-21,T003,True,False,False,190,0,97.02,364,1257
2025-03-21,T004,True,False,True,175,0,97.06,255,1045
2025-03-21,T005,True,False,True,144,1,98.7,325,1826
2025-03-21,T006,True,True,True,184,1,95.83,374,1628
2025-03-21,T007,True,False,True,199,0,99.75,397,1467
2025-03-21,T008,False,False,False,56,1,95.43,0,1257
2025-03-21,T009,True,False,True,171,3,96.07,220,816
2025-03-21,T010,False,False,True,93,1,97.69,0,1496
2025-03-21,T011,True,False,True,167,0,99.7,318,41
2025-03-21,T012,True,False,True,141,0,96.92,206,1616
2025-03-21,T013,True,False,True,162,3,97.78,400,1740
2025-03-21,T014,True,False,True,151,0,98.28,232,1747
2025-03-21,T015,True,False,True,140,0,99.03,277,1252
2025-03-21,T016,False,False,True,76,0,99.2,0,574
2025-03-21,T017,False,False,True,73,0,97.78,0,1054
2025-03-21,T018,True,False,True,169,0,96.9,259,535
2025-03-21,T019,True,False,False,190,2,95.15,400,127
2025-03-21,T020,True,False,True,170,0,97.41,264,1443
2025-03-21,T021,False,True,True,58,0,99.52,0,2069
2025-03-21,T022,False,False,True,89,0,98.71,0,469
2025-03-21,T023,True,False,False,178,0,99.77,400,1112
2025-03-21,T024,True,True,True,163,1,99.15,366,7178
2025-03-21,T025,True,False,True,162,0,95.28,298,416
2025-03-22,T001,True,True,True,191,0,97.78,248,7851
2025-03-22,T002,True,False,True,198,0,96.6,274,1792
2025-03-22,T003,False,False,True,56,0,99.75,0,89
2025-03-22,T004,True,False,True,149,0,96.12,371,1001
2025-03-22,T005,False,False,False,80,2,96.64,0,1030
2025-03-22,T006,True,False,True,192,0,99.59,291,830
2025-03-22,T007,True,False,True,152,0,95.76,237,920
2025-03-22,T008,False,False,True,86,0,98.74,0,1861
2025-03-22,T009,True,False,True,140,1,95.34,311,1998
2025-03-22,T010,True,False,True,176,0,98.84,274,974
2025-03-22,T011,True,False,True,155,0,98.29,361,1877
2025-03-22,T012,True,False,False,146,0,96.23,343,73
2025-03-22,T013,True,False,False,176,0,96.05,291,774
2025-03-22,T014,True,False,True,185,0,96.53,258,1485
2025-03-22,T015,True,False,True,146,0,98.83,236,889
2025-03-22,T016,True,False,True,165,1,99.39,387,1251
2025-03-22,T017,True,True,True,167,1,99.02,307,7216
2025-03-22,T018,False,True,True,78,0,97.69,0,2895
2025-03-22,T019,True,False,True,192,1,97.4,352,615
2025-03-22,T020,False,True,True,61,1,95.69,0,5326
2025-03-22,T021,True,False,True,170,0,95.3,255,1802
2025-03-22,T022,False,True,True,89,0,99.74,0,4594
2025-03-22,T023,True,False,True,191,0,95.67,260,1663
2025-03-22,T024,False,False,True,64,0,97.5,0,709
2025-03-22,T025,False,False,True,67,0,99.15,0,1631
2025-03-23,T001,True,False,True,151,0,95.09,356,1993
2025-03-23,T002,True,False,True,146,1,96.64,200,457
2025-03-23,T003,False,False,True,100,0,97.31,0,623
2025-03-23,T004,True,False,True,184,1,99.03,291,942
2025-03-23,T005,False,False,True,76,0,97.53,0,1701
2025-03-23,T006,True,False,True,161,0,96.22,250,1454
2025-03-23,T007,False,False,True,97,0,95.02,0,1100
2025-03-23,T008,False,False,True,75,0,98.03,0,968
2025-03-23,T009,False,True,True,55,0,95.98,0,4821
2025-03-23,T010,True,False,True,167,0,95.18,382,393
2025-03-23,T011,True,False,True,140,0,96.17,358,1908
2025-03-23,T012,True,False,True,179,0,97.73,303,1926
2025-03-23,T013,True,False,False,146,0,96.35,387,1961
2025-03-23,T014,True,False,True,141,0,98.25,354,1331
2025-03-23,T015,False,False,False,74,1,95.82,0,381
2025-03-23,T016,True,False,True,152,1,95.83,359,490
2025-03-23,T017,True,False,True,179,1,95.62,290,415
2025-03-23,T018,True,False,True,142,0,99.72,277,1254
2025-03-23,T019,False,False,True,89,0,98.4,0,1209
2025-03-23,T020,False,False,True,70,0,99.68,0,838
2025-03-23,T021,False,False,True,95,0,95.61,0,1672
2025-03-23,T022,False,True,True,93,0,98.97,0,5863
2025-03-23,T023,True,False,False,166,1,98.0,325,482
2025-03-23,T024,False,False,False,58,1,98.97,0,1305
2025-03-23,T025,True,False,True,145,2,99.52,297,1813
2025-03-24,T001,True,False,True,182,1,95.02,263,286
2025-03-24,T002,False,False,True,85,0,96.21,0,936
2025-03-24,T003,True,False,True,148,0,98.76,363,1872
2025-03-24,T004,True,False,True,194,0,95.43,297,202
2025-03-24,T005,True,False,True,193,0,99.32,304,627
2025-03-24,T006,True,False,True,178,0,97.08,368,1999
2025-03-24,T007,False,False,True,99,0,96.37,0,1883
2025-03-24,T008,False,False,True,69,0,98.67,0,1339
2025-03-24,T009,False,True,True,76,0,97.8,0,7976
2025-03-24,T010,True,False,True,176,0,97.94,321,826
2025-03-24,T011,True,False,True,179,0,99.51,286,1899
2025-03-24,T012,True,False,True,185,0,95.64,335,375
2025-03-24,T013,True,False,True,193,0,96.08,298,22
2025-03-24,T014,True,False,True,187,0,98.21,254,1556
2025-03-24,T015,True,False,True,149,0,98.59,359,1148
2025-03-24,T016,True,False,False,159,0,97.62,262,977
2025-03-24,T017,True,False,True,147,0,99.73,321,1762
2025-03-24,T018,False,False,True,96,0,99.63,0,456
2025-03-24,T019,True,False,True,180,0,95.81,288,1175
2025-03-24,T020,True,False,True,191,1,99.71,321,643
2025-03-24,T021,True,False,True,190,0,95.13,313,1879
2025-03-24,T022,True,False,True,199,2,99.16,234,1493
2025-03-24,T023,True,False,True,194,0,96.89,382,499
2025-03-24,T024,True,False,True,174,2,95.74,297,837
2025-03-24,T025,True,False,True,151,0,96.34,320,187
2025-03-25,T001,False,True,True,87,1,95.02,0,7563
2025-03-25,T002,False,False,False,74,0,96.95,0,1542
2025-03-25,T003,False,False,True,93,0,95.32,0,290
2025-03-25,T004,True,False,True,195,0,98.51,290,820
2025-03-25,T005,False,False,True,66,0,97.15,0,158
