date,total_services,on_time_services,delayed_services,punctuality_percentage,avg_delay_minutes,passenger_complaints,revenue_per_service,energy_consumption_kwh,maintenance_alerts,safety_incidents,customer_satisfaction,cost_per_km
2025-06-13,185,183,2,98.92,0.7451354013990085,4,1879,3154,1,0,4.3772249137436265,13.334063989752604
2025-06-14,186,184,2,98.92,1.7798393221636766,1,2042,3373,1,0,4.421898028036172,16.697552527130306
2025-06-15,203,199,4,98.03,1.917412417343975,1,2030,2819,3,1,4.451672387602023,12.52751129569946
2025-06-16,191,191,0,100.0,1.0881235924996062,0,1927,3072,1,1,4.229777403706158,16.6177016518701
2025-06-17,207,207,0,100.0,0.8607208056306002,5,1810,2942,3,1,4.57162439269766,17.677989876548857
2025-06-18,184,177,7,96.2,2.666374204556785,0,2007,3182,2,1,4.594101625043497,13.037708129830001
2025-06-19,186,186,0,100.0,2.4554015829942797,1,1824,2991,0,1,4.498037169740789,16.33090195724193
2025-06-20,196,192,4,97.96,0.9144739155185195,0,1942,3104,2,0,4.335832478267159,12.798987850168233
2025-06-21,217,213,4,98.16,1.7534303605415344,0,2058,3227,0,0,4.553218520163695,16.11098501887102
2025-06-22,191,190,1,99.48,2.6610182492271752,2,1830,3121,3,0,4.742245479917276,15.050493354320384
2025-06-23,191,184,7,96.34,2.097315898028347,2,1825,2942,0,0,4.553835290802357,13.249696086838572
2025-06-24,203,199,4,98.03,0.9156457091761858,1,2194,3117,1,1,4.739478236476511,15.855869359364462
2025-06-25,182,174,8,95.6,0.7259898603564388,2,2041,3137,1,0,4.556770103022892,15.884758347220293
2025-06-26,201,198,3,98.51,2.0852456634307335,1,1857,2883,2,0,4.79712159055595,17.476376250432374
2025-06-27,187,181,6,96.79,1.9241185387035014,0,2070,3001,2,0,4.2547220798394125,12.512578018628027
2025-06-28,183,181,2,98.91,1.002226246068123,5,1825,3275,2,1,4.316465115195576,14.446401238210978
2025-06-29,219,215,4,98.17,2.3926917625675097,3,1990,3366,2,1,4.45954197593369,14.864432358829422
2025-06-30,203,196,7,96.55,1.8358729384046386,0,2086,3385,2,1,4.486226612266492,16.5625224258805
2025-07-01,213,206,7,96.71,3.0091103321316166,4,2193,3162,1,0,4.452509556025252,14.744371281364888
2025-07-02,198,192,6,96.97,1.3090338132769022,3,2117,3041,0,1,4.420476155791159,17.843016692863454
2025-07-03,190,186,4,97.89,3.1712229069818907,3,1823,3328,1,0,4.389104792594328,17.710253647818764
2025-07-04,215,212,3,98.6,2.669844426244193,3,2134,2898,0,0,4.411738081040506,13.600341600770756
2025-07-05,193,185,8,95.85,2.5387818706204297,4,1876,2993,1,0,4.506797428903189,17.38571241453117
2025-07-06,187,185,2,98.93,2.770879155781412,3,1880,3322,3,0,4.384226149096301,14.217198419600916
2025-07-07,200,198,2,99.0,0.9565861150383359,5,2109,2826,1,0,4.3493154168371975,15.549741391747018
2025-07-08,186,182,4,97.85,0.6804985436988318,2,2117,2894,2,0,4.6202458172298035,17.557708446253912
2025-07-09,199,195,4,97.99,1.6291065263863662,1,1891,3058,2,1,4.6070293107095734,13.351430757298457
2025-07-10,220,216,4,98.18,2.122708628250919,5,2036,3056,1,0,4.799262587304069,14.209841675919016
2025-07-11,212,206,6,97.17,2.8579219540769416,1,2130,2973,0,0,4.7504551027566935,13.971103159176733
2025-07-12,181,179,2,98.9,2.876264421773558,5,1890,3014,0,0,4.462233717266514,15.291663666237104
2025-07-13,184,180,4,97.83,1.0393175910238486,0,2118,2884,2,0,4.203427868678371,13.389889434115835
2025-07-14,214,213,1,99.53,1.9275869943696489,5,2167,2999,3,1,4.617926094822493,16.95542831407892
2025-07-15,211,205,6,97.16,3.1905697573559775,1,1852,3313,3,0,4.43622211070736,16.02748851744736
2025-07-16,190,190,0,100.0,3.1840805563386287,0,1918,3234,0,1,4.3341570353691745,14.249255932839008
2025-07-17,209,205,4,98.09,0.9035925799344354,3,1950,3286,1,0,4.726129621788097,15.39402674338056
2025-07-18,183,175,8,95.63,1.8992536963720348,2,1994,3392,3,0,4.690062352265501,13.184947533292066
2025-07-19,193,190,3,98.45,2.955094848238814,5,1875,3190,2,1,4.219268527985944,16.71578916232899
2025-07-20,181,178,3,98.34,2.4757200428079456,4,2166,3259,0,0,4.740100995704617,14.268106812370014
2025-07-21,202,200,2,99.01,3.0797148052700276,2,2140,2869,1,1,4.652226356290553,14.184393931177215
2025-07-22,184,177,7,96.2,0.7253791446794451,1,1821,3203,1,1,4.764802131558234,15.787936528114823
2025-07-23,194,187,7,96.39,2.8812405758044677,4,2179,3381,2,1,4.744294364611823,15.074014435849517
2025-07-24,190,184,6,96.84,0.5680307907582985,3,2162,3215,1,1,4.679582901169961,13.861219477708268
2025-07-25,182,176,6,96.7,2.30017993984497,5,1928,3393,1,0,4.34591928287841,15.741998649038536
2025-07-26,188,181,7,96.28,2.574443590503262,4,2045,2821,0,0,4.475351956076521,17.261790150356447
2025-07-27,200,193,7,96.5,2.8153065687792993,3,2002,3383,1,1,4.577751610395104,15.759626090855006
2025-07-28,192,190,2,98.96,1.1042400603639633,5,2087,2970,3,0,4.626667148362378,13.453287472177303
2025-07-29,199,196,3,98.49,2.057842643281604,2,2050,3142,1,0,4.579559621821714,14.689643591744435
2025-07-30,194,192,2,98.97,0.9337504743731027,2,2030,3285,3,1,4.600357918969688,16.16525652692653
2025-07-31,184,180,4,97.83,0.5684606306346769,3,2187,2878,3,1,4.733671663127431,17.04944582444511
2025-08-01,190,188,2,98.95,1.085761961044207,0,1958,3197,3,0,4.45921029250447,13.216853349437237
2025-08-02,215,209,6,97.21,1.0914256813768641,4,2099,3341,2,1,4.766685766509704,18.15104131745847
2025-08-03,189,185,4,97.88,0.8482811362493325,4,1830,2850,0,0,4.666035647544119,16.31663529063521
2025-08-04,185,178,7,96.22,1.681311308562585,3,2117,3305,2,1,4.719512091734203,17.867619643424007
2025-08-05,184,177,7,96.2,2.9847239796741367,3,2063,3275,0,0,4.6285655618871,13.378633524257893
2025-08-06,184,179,5,97.28,1.395192499371546,2,1999,2953,2,1,4.760005709905604,12.868795990183317
2025-08-07,191,186,5,97.38,1.8781012061443858,5,2184,2936,3,1,4.6902247033722935,17.6444594729848
2025-08-08,208,200,8,96.15,1.6035948200479129,1,2014,2971,0,0,4.629965414581038,17.437697465293557
2025-08-09,197,191,6,96.95,2.3951825997789076,1,2065,3088,2,0,4.78001282735632,14.331696200053669
2025-08-10,207,205,2,99.03,2.370345384285125,3,2069,2957,0,0,4.667666696396538,16.8162891359902
2025-08-11,182,180,2,98.9,0.9469805665084674,3,1832,2830,2,0,4.319341817101686,17.161587747217123
2025-08-12,183,182,1,99.45,1.0327470261725014,4,1880,2802,1,1,4.759617223352046,14.439155662119639
2025-08-13,184,176,8,95.65,2.7928296078159303,0,2081,2805,0,0,4.601872021462298,15.177080257934122
2025-08-14,210,207,3,98.57,0.6791998571161364,3,2156,3042,0,0,4.694636547171407,14.825260886504392
2025-08-15,198,191,7,96.46,2.2610078927029873,5,1845,2920,0,0,4.765613397533131,13.124555087624076
